100
    1 10808  9840
    2    91   473 3
    3   761   859 2
    4   606   624
    5  8980  8589
    6  6248  5670
    7  2292  2054
    8  1664  2288 10 12
    9  9510  8982
   10    65   327 8
   11  6342  5420
   12   272   784 8
   13  1808  2061 24
   14  2926  2489
   15  1836  1533
   16  5018  5137
   17  5193  4894
   18  1726  2517
   19  4658  3954
   20  5306  4979
   21  9357  9534
   22  9420  8444
   23  1040   701
   24     1   107 13
   25  6555  5949
   26  7773  8589
   27  5307  4555
   28  6520  5564
   29  4443  5030
   30  5831  6716
   31  3393  2530
   32  6054  6448
   33  8533  8012
   34  5823  6154
   35  8303  9093
   36  3177  2350
   37 10497  9805
   38  7666  6753
   39  3028  2349
   40  2673  2883
   41  7312  6512
   42  3816  3254
   43  4956  5199
   44  7083  6538
   45  8486  8216
   46  3652  3159
   47   684   570
   48  9713  9814
   49  4649  4656
   50  4147  4973
   51  1177   359
   52  6348  6357
   53  4319  3646
   54  1373   441
   55  8876  9609
   56  2941  2652
   57  7113  6802
   58     1   359
   59  1973  1277
   60   637  1183
   61  3546  4293
   62  4503  3647
   63  5970  5800
   64  3319  4295
   65  7571  7596
   66  4356  3665
   67  3372  2429
   68  2493  2187
   69  9904  8917
   70  9060  8566
   71  7997  8886
   72  3546  3946
   73  5562  6103
   74  5486  6036
   75  1854   936
   76  7282  7645
   77  1629  1875
   78  2146  2264
   79  2331  3009
   80  1967  1335
   81  6559  6326
   82  7903  7658
   83  7352  8299
   84  1581   854
   85  3622  2726
   86     1    14
   87  6575  6280
   88  8830  9553
   89  3857  3027
   90  2329  2976
   91   463  1253
   92  7873  7097
   93    60   517
   94  3292  2564
   95  5558  6137
   96  5235  6234
   97  7394  6674
   98  5568  5101
   99  9271  9733
  100  4838  5145
10001
